filename,sim,score,grade
1004355.txt,0.66515052318573,1,low
filename,sim,score,grade
1007363.txt,0.9054286479949951,4,low
filename,sim,score,grade
1079196.txt,0.8034830093383789,3,high
filename,sim,score,grade
1086343.txt,0.8083645105361938,3,low
filename,sim,score,grade
1096747.txt,0.9152233600616455,4,low
filename,sim,score,grade
1109085.txt,0.9410510659217834,4,high
filename,sim,score,grade
1164913.txt,0.7525510787963867,2,low
filename,sim,score,grade
1174920.txt,0.946303129196167,4,low
filename,sim,score,grade
1181356.txt,0.9167282581329346,4,low
filename,sim,score,grade
1223368.txt,0.9220332503318787,4,high
filename,sim,score,grade
1239289.txt,0.9229262471199036,4,low
filename,sim,score,grade
1249928.txt,0.7146341800689697,2,low
filename,sim,score,grade
1321982.txt,0.900785505771637,4,low
filename,sim,score,grade
1346734.txt,0.7414098381996155,2,low
filename,sim,score,grade
1365003.txt,0.9256379008293152,4,high
filename,sim,score,grade
1388870.txt,0.9581234455108643,5,low
filename,sim,score,grade
1392946.txt,0.9265944957733154,4,high
filename,sim,score,grade
1394540.txt,0.851302981376648,3,low
filename,sim,score,grade
1414676.txt,0.8580619692802429,3,high
filename,sim,score,grade
1431839.txt,0.818290114402771,3,high
filename,sim,score,grade
1447041.txt,0.9279722571372986,4,low
filename,sim,score,grade
1449555.txt,0.872038722038269,3,high
filename,sim,score,grade
1453563.txt,0.9112850427627563,4,high
filename,sim,score,grade
1469088.txt,0.899269700050354,3,low
filename,sim,score,grade
1599482.txt,0.7687227725982666,2,high
filename,sim,score,grade
1604419.txt,0.7718535661697388,2,low
filename,sim,score,grade
162639.txt,0.9430397152900696,4,high
filename,sim,score,grade
1648484.txt,0.7883553504943848,2,low
filename,sim,score,grade
1691426.txt,0.9128780364990234,4,low
filename,sim,score,grade
1693042.txt,0.8979036808013916,3,high
filename,sim,score,grade
1703761.txt,0.9635012745857239,5,low
filename,sim,score,grade
1723586.txt,0.892590343952179,3,high
filename,sim,score,grade
1728162.txt,0.7995027303695679,2,high
filename,sim,score,grade
1784031.txt,0.8846829533576965,3,low
filename,sim,score,grade
1790750.txt,0.7843762636184692,2,low
filename,sim,score,grade
1804641.txt,0.8720264434814453,3,low
filename,sim,score,grade
1812668.txt,0.9427400827407837,4,low
filename,sim,score,grade
1813924.txt,0.7405648231506348,2,low
filename,sim,score,grade
1827588.txt,0.956672728061676,5,high
filename,sim,score,grade
1834502.txt,0.9058396220207214,4,high
filename,sim,score,grade
1851482.txt,0.9452956318855286,4,low
filename,sim,score,grade
186616.txt,0.8813619613647461,3,high
filename,sim,score,grade
1876159.txt,0.8955941200256348,3,high
filename,sim,score,grade
1897285.txt,0.659347653388977,1,low
filename,sim,score,grade
1942513.txt,0.904952347278595,4,high
filename,sim,score,grade
1949465.txt,0.871168315410614,3,high
filename,sim,score,grade
1971958.txt,0.8647657036781311,3,low
filename,sim,score,grade
1974703.txt,0.9324646592140198,4,low
filename,sim,score,grade
1985615.txt,0.9146695733070374,4,high
filename,sim,score,grade
206667.txt,0.8901460766792297,3,low
filename,sim,score,grade
216672.txt,0.7235374450683594,2,low
filename,sim,score,grade
219983.txt,0.9216756224632263,4,low
filename,sim,score,grade
230893.txt,0.8441741466522217,3,high
filename,sim,score,grade
232159.txt,0.9060011506080627,4,high
filename,sim,score,grade
248917.txt,0.9025136828422546,4,low
filename,sim,score,grade
265349.txt,0.9042202830314636,4,high
filename,sim,score,grade
279212.txt,0.9418426156044006,4,high
filename,sim,score,grade
302140.txt,0.8859668374061584,3,high
filename,sim,score,grade
338351.txt,0.8810628056526184,3,high
filename,sim,score,grade
339615.txt,0.9360452890396118,4,low
filename,sim,score,grade
345396.txt,0.8800578117370605,3,low
filename,sim,score,grade
373416.txt,0.9070265293121338,4,high
filename,sim,score,grade
38209.txt,0.9375519752502441,4,high
filename,sim,score,grade
392518.txt,0.8547263741493225,3,low
filename,sim,score,grade
395987.txt,0.8825324773788452,3,high
filename,sim,score,grade
404521.txt,0.9205495715141296,4,low
filename,sim,score,grade
412197.txt,0.9392908811569214,4,high
filename,sim,score,grade
425198.txt,0.780934751033783,2,low
filename,sim,score,grade
449267.txt,0.8983582854270935,3,low
filename,sim,score,grade
450359.txt,0.9215928912162781,4,low
filename,sim,score,grade
496928.txt,0.9245845675468445,4,low
filename,sim,score,grade
526827.txt,0.8478735685348511,3,low
filename,sim,score,grade
52951.txt,0.9549949765205383,5,high
filename,sim,score,grade
535573.txt,0.9584912657737732,5,high
filename,sim,score,grade
562823.txt,0.687230110168457,1,low
filename,sim,score,grade
586583.txt,0.904775857925415,4,low
filename,sim,score,grade
589458.txt,0.8522673845291138,3,low
filename,sim,score,grade
594970.txt,0.91759192943573,4,high
filename,sim,score,grade
