filename,score,grade
1004355.txt,27.405384615384612,low
filename,score,grade
1007363.txt,30.48777777777778,low
filename,score,grade
1079196.txt,31.28111111111111,high
filename,score,grade
1086343.txt,32.010000000000005,low
filename,score,grade
1096747.txt,30.360000000000003,low
filename,score,grade
1109085.txt,31.7,high
filename,score,grade
1164913.txt,25.67846153846154,low
filename,score,grade
1174920.txt,28.78,low
filename,score,grade
1181356.txt,32.25666666666667,low
filename,score,grade
1223368.txt,33.769999999999996,high
filename,score,grade
1239289.txt,24.493333333333332,low
filename,score,grade
1249928.txt,35.5075,low
filename,score,grade
1321982.txt,25.757272727272724,low
filename,score,grade
1346734.txt,34.276666666666664,low
filename,score,grade
1365003.txt,31.986315789473686,high
filename,score,grade
1388870.txt,29.852857142857143,low
filename,score,grade
1392946.txt,28.23,high
filename,score,grade
1394540.txt,33.32666666666667,low
filename,score,grade
1414676.txt,33.480909090909094,high
filename,score,grade
1431839.txt,35.239999999999995,high
filename,score,grade
1447041.txt,26.887272727272727,low
filename,score,grade
1449555.txt,36.32,high
filename,score,grade
1453563.txt,30.21,high
filename,score,grade
1469088.txt,29.71,low
filename,score,grade
1599482.txt,32.99,high
filename,score,grade
1604419.txt,29.6,low
filename,score,grade
162639.txt,34.27,high
filename,score,grade
1648484.txt,27.16,low
filename,score,grade
1691426.txt,36.54,low
filename,score,grade
1693042.txt,39.016666666666666,high
filename,score,grade
1703761.txt,31.576666666666668,low
filename,score,grade
1723586.txt,33.9511111111111,high
filename,score,grade
1728162.txt,26.457058823529415,high
filename,score,grade
1784031.txt,31.68,low
filename,score,grade
1790750.txt,30.26777777777778,low
filename,score,grade
1804641.txt,24.996666666666666,low
filename,score,grade
1812668.txt,25.505,low
filename,score,grade
1813924.txt,36.66,low
filename,score,grade
1827588.txt,35.776666666666664,high
filename,score,grade
1834502.txt,35.596363636363634,high
filename,score,grade
1851482.txt,29.252307692307692,low
filename,score,grade
186616.txt,31.73,high
filename,score,grade
1876159.txt,29.083333333333336,high
filename,score,grade
1897285.txt,34.193333333333335,low
filename,score,grade
1942513.txt,37.77545454545455,high
filename,score,grade
1949465.txt,34.36,high
filename,score,grade
1971958.txt,30.854444444444447,low
filename,score,grade
1974703.txt,33.82,low
filename,score,grade
1985615.txt,38.841428571428565,high
filename,score,grade
206667.txt,27.215384615384615,low
filename,score,grade
216672.txt,,low
filename,score,grade
219983.txt,35.13923076923077,low
filename,score,grade
230893.txt,29.442222222222224,high
filename,score,grade
232159.txt,36.245000000000005,high
filename,score,grade
248917.txt,30.28,low
filename,score,grade
265349.txt,33.23894736842105,high
filename,score,grade
279212.txt,32.69619047619047,high
filename,score,grade
302140.txt,28.339999999999996,high
filename,score,grade
338351.txt,35.82,high
filename,score,grade
339615.txt,23.17846153846154,low
filename,score,grade
345396.txt,28.137272727272727,low
filename,score,grade
373416.txt,37.448235294117644,high
filename,score,grade
38209.txt,42.35818181818182,high
filename,score,grade
392518.txt,38.47,low
filename,score,grade
395987.txt,29.535675675675677,high
filename,score,grade
404521.txt,29.67,low
filename,score,grade
412197.txt,33.50833333333333,high
filename,score,grade
425198.txt,27.352307692307694,low
filename,score,grade
449267.txt,33.03,low
filename,score,grade
450359.txt,28.88,low
filename,score,grade
496928.txt,32.25,low
filename,score,grade
526827.txt,31.490000000000002,low
filename,score,grade
52951.txt,39.68111111111111,high
filename,score,grade
535573.txt,40.21157894736842,high
filename,score,grade
562823.txt,27.114285714285714,low
filename,score,grade
586583.txt,31.215555555555554,low
filename,score,grade
589458.txt,26.240000000000002,low
filename,score,grade
594970.txt,29.10111111111111,high
filename,score,grade
599905.txt,29.22666666666667,high
filename,score,grade
609558.txt,28.466363636363635,high
filename,score,grade
618384.txt,33.7275,high
filename,score,grade
643139.txt,31.28153846153846,low
filename,score,grade
644250.txt,29.708235294117642,low
filename,score,grade
656695.txt,32.026666666666664,high
filename,score,grade
661830.txt,29.75142857142857,low
filename,score,grade
67346.txt,35.135652173913044,high
filename,score,grade
711394.txt,31.35,high
filename,score,grade
71654.txt,34.91,high
filename,score,grade
716766.txt,31.31,high
filename,score,grade
746257.txt,24.21,low
filename,score,grade
749940.txt,29.34,low
filename,score,grade
755753.txt,33.64869565217391,high
filename,score,grade
757891.txt,28.02090909090909,high
filename,score,grade
806909.txt,39.20545454545454,high
filename,score,grade
832751.txt,29.00941176470588,high
filename,score,grade
844996.txt,31.115882352941178,high
filename,score,grade
871631.txt,33.42,low
filename,score,grade
913996.txt,27.5675,high
filename,score,grade
937403.txt,38.01142857142857,high
filename,score,grade
990384.txt,24.14666666666667,high
